backend,mode,tc_id,topic,category,success,latency_seconds,citation_accuracy_pct,hallucination_rate_pct,coverage_rate_pct,adversarial_pass_pct,agent_disagreement_pct,input_tokens,output_tokens,total_tokens,llm_calls,cost_usd,error
ollama,baseline,TC-001,Withholding Tax Rate,happy_path,True,27.89,100.0,0.0,0.0,,,1338,812,2150,2,0.0,
ollama,new,TC-001,Withholding Tax Rate,happy_path,True,33.32,100.0,0.0,100.0,,100.0,5849,413,6262,4,0.0,
ollama,baseline,TC-002,Double Taxation,happy_path,True,37.03,100.0,0.0,100.0,,,1461,810,2271,2,0.0,
ollama,new,TC-002,Double Taxation,happy_path,True,50.43,100.0,0.0,100.0,,100.0,5806,278,6084,4,0.0,
ollama,baseline,TC-003,Dispute Resolution,happy_path,True,43.63,100.0,0.0,100.0,,,1271,719,1990,2,0.0,
ollama,new,TC-003,Dispute Resolution,happy_path,True,38.31,100.0,0.0,100.0,,0.0,5379,380,5759,3,0.0,
ollama,baseline,TC-004,Contract Termination,happy_path,True,40.71,100.0,0.0,0.0,,,1327,670,1997,2,0.0,
ollama,new,TC-004,Contract Termination,happy_path,True,61.31,100.0,0.0,100.0,,100.0,6494,648,7142,4,0.0,
ollama,baseline,TC-005,Currency / Exchange Rate,happy_path,True,73.58,100.0,0.0,100.0,,,1607,1201,2808,2,0.0,
ollama,new,TC-005,Currency / Exchange Rate,happy_path,True,45.72,100.0,0.0,100.0,,100.0,5494,428,5922,4,0.0,
ollama,baseline,TC-006,Multiple Issues (Comprehensive),happy_path,True,50.57,100.0,0.0,100.0,,,1430,796,2226,2,0.0,
ollama,new,TC-006,Multiple Issues (Comprehensive),happy_path,True,42.63,100.0,0.0,66.66666666666666,,100.0,5840,372,6212,4,0.0,
ollama,baseline,TC-007,Compliant Contract (Control),happy_path,True,48.04,100.0,0.0,,,,1440,715,2155,2,0.0,
ollama,new,TC-007,Compliant Contract (Control),happy_path,True,58.27,100.0,0.0,,,66.7,6736,564,7300,4,0.0,
ollama,baseline,TC-008,Edge Case (Brief Contract),happy_path,True,43.47,100.0,0.0,100.0,,,1389,692,2081,2,0.0,
ollama,new,TC-008,Edge Case (Brief Contract),happy_path,True,44.01,100.0,0.0,50.0,,100.0,5886,392,6278,4,0.0,
ollama,baseline,TC-009,OCR Garbage (Unreadable Upload),adversarial,True,2147.04,100.0,0.0,0.0,0.0,,42478,41389,83867,2,0.0,
ollama,new,TC-009,OCR Garbage (Unreadable Upload),adversarial,True,76.79,100.0,0.0,0.0,0.0,0.0,5295,902,6197,3,0.0,
ollama,baseline,TC-010,Prompt Injection Attack,adversarial,True,37.36,100.0,0.0,100.0,100.0,,1522,630,2152,2,0.0,
ollama,new,TC-010,Prompt Injection Attack,adversarial,True,43.97,100.0,0.0,100.0,100.0,100.0,5936,383,6319,4,0.0,
ollama,baseline,TC-011,Self-Contradictory Contract,adversarial,True,55.95,100.0,0.0,100.0,100.0,,1678,876,2554,2,0.0,
ollama,new,TC-011,Self-Contradictory Contract,adversarial,True,48.54,100.0,0.0,100.0,100.0,100.0,6111,455,6566,4,0.0,
ollama,baseline,TC-012,Excessive Length (Truncation Stress),adversarial,True,45.2,100.0,0.0,50.0,0.0,,2258,580,2838,2,0.0,
ollama,new,TC-012,Excessive Length (Truncation Stress),adversarial,True,86.76,100.0,0.0,50.0,0.0,0.0,7495,922,8417,4,0.0,
deepseek,baseline,TC-001,Withholding Tax Rate,happy_path,True,24.49,100.0,0.0,100.0,,,1670,1695,3365,2,0.002315,
deepseek,new,TC-001,Withholding Tax Rate,happy_path,True,12.55,100.0,0.0,100.0,,100.0,6680,814,7494,4,0.002699,
deepseek,baseline,TC-002,Double Taxation,happy_path,True,23.0,100.0,0.0,100.0,,,1599,1640,3239,2,0.002236,
deepseek,new,TC-002,Double Taxation,happy_path,True,11.31,100.0,0.0,100.0,,100.0,6320,526,6846,4,0.002285,
deepseek,baseline,TC-003,Dispute Resolution,happy_path,True,26.86,100.0,0.0,100.0,,,1720,1889,3609,2,0.002542,
deepseek,new,TC-003,Dispute Resolution,happy_path,True,11.17,100.0,0.0,100.0,,100.0,6855,904,7759,4,0.002845,
deepseek,baseline,TC-004,Contract Termination,happy_path,True,27.0,100.0,0.0,100.0,,,1885,1844,3729,2,0.002537,
deepseek,new,TC-004,Contract Termination,happy_path,True,9.9,100.0,0.0,100.0,,100.0,6004,627,6631,4,0.002311,
deepseek,baseline,TC-005,Currency / Exchange Rate,happy_path,True,28.2,100.0,0.0,100.0,,,1729,2062,3791,2,0.002735,
deepseek,new,TC-005,Currency / Exchange Rate,happy_path,True,9.99,100.0,0.0,100.0,,100.0,5966,589,6555,4,0.002259,
deepseek,baseline,TC-006,Multiple Issues (Comprehensive),happy_path,True,23.78,100.0,0.0,100.0,,,1840,1737,3577,2,0.002407,
deepseek,new,TC-006,Multiple Issues (Comprehensive),happy_path,True,10.26,100.0,0.0,66.66666666666666,,100.0,6674,685,7359,4,0.002555,
deepseek,baseline,TC-007,Compliant Contract (Control),happy_path,True,24.41,100.0,0.0,,,,1815,1711,3526,2,0.002372,
